assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769664,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,CHEMBL56146,IC50,nM,130.0,CHEMBL1939,IC50,uM,0.13,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,CHEMBL56146,IC50,nM,15260.0,CHEMBL1939,IC50,uM,15.26,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,CHEMBL56146,IC50,nM,130.0,CHEMBL1939,IC50,uM,0.13,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,CHEMBL56146,IC50,nM,21490.0,CHEMBL1939,IC50,uM,21.49,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,CHEMBL325533,IC50,nM,22730.0,CHEMBL1939,IC50,uM,22.73,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,CHEMBL325533,IC50,nM,3410.0,CHEMBL1939,IC50,uM,3.41,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,CHEMBL325533,IC50,nM,90810.0,CHEMBL1939,IC50,uM,90.81,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,CHEMBL325533,IC50,nM,760.0,CHEMBL1939,IC50,uM,0.76,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769668,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,CHEMBL325533,IC50,nM,500.0,CHEMBL1939,IC50,uM,0.5,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,150.0,CHEMBL1939,IC50,uM,0.15,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,20.0,CHEMBL1939,IC50,uM,0.02,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,CHEMBL22139,IC50,nM,4290.0,CHEMBL1939,IC50,uM,4.29,"PfDHFR-TS K1 (P. falciparum, resistant)"
