identifier,canonical_smiles,p_active,is_african_np,docking_rank
CNP0346379.1,C=C(C)[C@H]1C=Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.32420428557637165,True,249
CNP0346599.1,CC(C)[C@](O)(C=O)CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C,0.3241112177777453,True,250
CNP0165529.1,CC(=O)OC1=C[C@H](COC(=O)c2ccccc2)OC(=O)C=C1,0.3226828433080933,True,251
CNP0242596.0,Cn1c2c3c(nc-2c(-c2c4nc5ccccc5c-4n(C)c4ccccc24)c2ccccc21)CC=CC3,0.3226138640341636,True,252
CNP0370068.5,COC(=O)[C@]1(C)CC[C@@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,0.32130734839317887,True,253
CNP0389131.28,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,0.3203467857503427,True,254
CNP0346258.1,C=C(C)[C@@]12CC[C@@H](C)[C@@H](C)[C@@H]1C1=CC[C@@]34C[C@@]35CC[C@@H](O)C(C)(C)[C@H]5CC[C@@]4(C)[C@]1(C)CC2,0.3200290451810144,True,255
CNP0252851.4,CC(C)(O)[C@H]1CC[C@@]2(C)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)[C@H]3CC[C@]21C,0.31993906770869995,True,256
CNP0343476.1,O=C1C(O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)=C(c2ccc(O)c(O)c2)Cc2cc(O)cc(O)c21,0.3197778706789255,True,257
CNP0346575.1,C=C1C(=O)CO[C@@H]2/C=C(/COC(C)=O)C/C=C(/C=O)C[C@H](OC(=O)[C@H](C)CC)[C@H]12,0.319736222864541,True,258
CNP0262717.2,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@H](CO)CC[C@]3(C)CC[C@]12C,0.3194892796542104,True,259
CNP0323192.0,COc1cc2nc3occc3c(OC)c2cc1OC,0.3179360885497922,True,260
CNP0115082.0,COc1c2cc3c(cc2nc2occc12)OCO3,0.31785359733054286,True,261
CNP0175281.0,CC#CC#CC#Cc1cc(Cl)ccc1OC,0.3177166740056759,True,262
CNP0210282.1,COc1cc([C@H]2COc3cc4occc4cc3C2=O)c(OC)cc1C,0.3168532703390885,True,263
CNP0346501.1,C=CC[C@@]12C[C@]3(C[C@H](C)[C@@H]1c1cc(OC)c4c(c1)OCO4)OCOC3=CC2=O,0.3162404404429907,True,264
CNP0355142.0,CN1CCc2cc3c(c4c2c1cc1cc2c(cc14)OCO2)OCO3,0.31582730592806324,True,265
CNP0346417.1,COc1ccc([C@H]2CC(=O)c3c(O)cc(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)cc3O2)cc1,0.3156649486934954,True,266
CNP0221435.4,C=C(C)[C@H]1Cc2c(cc(O)c3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.3153634836843372,True,267
CNP0179686.1,C[C@]1(CO)[C@H](O)CC[C@]2(C)C3C[C@H]4[C@H]5CC3(CC[C@@H]12)C[C@]54C,0.31477496035592156,True,268
CNP0179921.2,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(CO)CC[C@@]3(C)CC[C@]12C,0.3139604180624518,True,269
CNP0160260.1,COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CCN3CC2,0.31388826542676884,True,270
CNP0319376.0,COc1cc2c(-c3ccc4c(c3)OCO4)c3c(c(OC)c2c(O)c1OC)COC3=O,0.31371293581897813,True,271
