identifier,canonical_smiles,standard_inchi_key,name_coconut,iupac_name_coconut,molecular_formula,mw_coconut,alogp,tpsa_coconut,hba_coconut,hbd_coconut,rot_bonds_coconut,qed_drug_likeliness,lipinski_violations,aromatic_rings,frac_csp3,np_likeness_num,np_classifier_pathway,np_classifier_superclass,np_classifier_class,chemical_class,chemical_superclass,direct_parent,organisms,collections,contains_sugar,contains_ring_sugars,dois,source_database,is_african_np,lipinski_pass,inchikey_14,npass_np_id,in_npass,p_active,african_rank
CNP0174782.1,C=C1CC[C@]2(C)CC[C@]3(C)C4=CC(=O)c5c(cc(O)c(O)c5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,XVIQCCFXDXUXNE-JPJACQMESA-N,,"(6~{a}~{S},6~{b}~{S},8~{a}~{R},12~{a}~{R},14~{a}~{R})-2,3-dihydroxy-4,6~{a},6~{b},8~{a},14~{a}-pentamethyl-11-methylene-7,8,9,10,12,12~{a},13,14-octahydropicen-5-one",C28H36O3,420.59,6.75,57.53,3,2,0,0.36,1,1,0.61,3.29,Terpenoids,,,Phenanthrenes and derivatives,Benzenoids,Phenanthrenes and derivatives,Salacia madagascariensis,ANPDB|AfroDB|KNApSaCK|NANPDB (Natural Products from Northern African Sources)|Super Natural II|ZINC NP,f,f,10.1021/np0497088,COCONUT,True,True,XVIQCCFXDXUXNE,NPC511955,True,0.3245992428187851,105
CNP0346379.1,C=C(C)[C@H]1C=Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,BVFMAGRNJQHBSP-HVETUWLQSA-N,,"(1~{S},7~{R},14~{S})-7-isopropenyl-17,18-dimethoxy-2,8,21-trioxapentacyclo[12.8.0.0^{3,12}.0^{4,9}.0^{15,20}]docosa-3(12),4(9),5,10,15,17,19-heptaen-13-one",C24H22O6,406.43,4.17,63.22,6,0,3,0.71,0,2,0.29,2.18,Shikimates and Phenylpropanoids,Isoflavonoids,Rotenoids,Isoflavonoids,Phenylpropanoids and polyketides,Rotenones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,BVFMAGRNJQHBSP,,False,0.32420428557637165,106
CNP0346599.1,CC(C)[C@](O)(C=O)CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C,OMXJNTQILPPBLQ-XPJKMUCZSA-N,,"(2~{S},5~{S})-2-hydroxy-5-[(3~{S},8~{R},9~{R},10~{S},13~{S},14~{R},17~{R})-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthren-17-yl]-2-isopropyl-hexanal",C28H46O3,430.67,5.93,57.53,3,2,6,0.41,1,0,0.89,2.73,Terpenoids,Steroids,Cholestane steroids,Steroids and steroid derivatives,Lipids and lipid-like molecules,"Bile acids, alcohols and derivatives",,AfroDB,f,f,,COCONUT,True,True,OMXJNTQILPPBLQ,,False,0.3241112177777453,107
CNP0165529.1,CC(=O)OC1=C[C@H](COC(=O)c2ccccc2)OC(=O)C=C1,YQQVJWLMJNRFKQ-CQSZACIVSA-N,,[(2~{R})-4-acetoxy-7-oxo-2~{H}-oxepin-2-yl]methyl benzoate,C16H14O6,302.28,1.77,78.9,6,0,4,0.62,0,1,0.19,1.49,Shikimates and Phenylpropanoids,Styrylpyrones,Kavalactones and derivatives,Benzene and substituted derivatives,Benzenoids,Benzoic acid esters,,AfroDB|TCMDB@Taiwan (Traditional Chinese Medicine database)|ZINC NP,f,f,,COCONUT,True,True,YQQVJWLMJNRFKQ,NPC192247,True,0.3226828433080933,108
CNP0242596.0,Cn1c2c3c(nc-2c(-c2c4nc5ccccc5c-4n(C)c4ccccc24)c2ccccc21)CC=CC3,OAYAUFPIZJSQFU-UHFFFAOYSA-N,,"5-methyl-11-(5-methyl-6,9-dihydroindolo[3,2-b]quinolin-11-yl)indolo[3,2-b]quinoline",C32H24N4,464.57,7.14,35.64,4,0,1,0.24,1,3,0.13,0.4,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Diazanaphthalenes,Organoheterocyclic compounds,"Indolo[2,3-b]quinoxalines",,AfroDB|ZINC NP,f,f,,COCONUT,True,True,OAYAUFPIZJSQFU,,False,0.3226138640341636,109
CNP0370068.5,COC(=O)[C@]1(C)CC[C@@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,JFACETXYABVHFD-CCZNUBNBSA-N,,"methyl (2~{R},4~{a}~{R},6~{a}~{R},6~{a}~{S},14~{a}~{S},14~{b}~{R})-10-hydroxy-2,4~{a},6~{a},6~{a},9,14~{a}-hexamethyl-11-oxo-1,3,4,5,6,13,14,14~{b}-octahydropicene-2-carboxylate",C30H40O4,464.65,6.79,63.6,4,1,1,0.43,1,0,0.67,3.2,Terpenoids,Triterpenoids,Friedelane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Triterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,JFACETXYABVHFD,NPC251728,True,0.32130734839317887,110
CNP0389131.28,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,HCXVJBMSMIARIN-LMWSVQAISA-N,,"(3~{S},8~{R},9~{R},10~{S},13~{S},14~{R},17~{R})-17-[(~{E},1~{S},4~{S})-4-ethyl-1,5-dimethyl-hex-2-enyl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthren-3-ol",C29H48O,412.7,7.8,20.23,1,1,5,0.46,1,0,0.86,2.8,Terpenoids,Steroids,Cholestane steroids,Steroids and steroid derivatives,Lipids and lipid-like molecules,Stigmastanes and derivatives,,AfroDB,f,f,,COCONUT,True,True,HCXVJBMSMIARIN,NPC578885,True,0.3203467857503427,111
CNP0346258.1,C=C(C)[C@@]12CC[C@@H](C)[C@@H](C)[C@@H]1C1=CC[C@@]34C[C@@]35CC[C@@H](O)C(C)(C)[C@H]5CC[C@@]4(C)[C@]1(C)CC2,VLVGPVPEDHLDIX-YCUOMJJVSA-N,,"(1~{R},5~{S},6~{R},7~{R},10~{R},13~{R},14~{S},17~{S},19~{R},22~{R})-10-isopropenyl-6,7,13,14,18,18-hexamethyl-hexacyclo[12.9.0.0^{1,22}.0^{4,13}.0^{5,10}.0^{17,22}]tricos-3-en-19-ol",C32H50O,450.75,8.34,20.23,1,1,1,0.4,1,0,0.88,3.4,Terpenoids,Triterpenoids,Ursane and Taraxastane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,"Taraxastane, ursane, and bauerane triterpenoids",,AfroDB|ZINC NP,f,f,,COCONUT,True,True,VLVGPVPEDHLDIX,,False,0.3200290451810144,112
CNP0252851.4,CC(C)(O)[C@H]1CC[C@@]2(C)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)[C@H]3CC[C@]21C,NVNUNRUPWXZKAL-UWYSGDIISA-N,,"(3~{S},3~{a}~{R},5~{a}~{R},5~{b}~{R},7~{a}~{S},11~{a}~{R},11~{b}~{R},13~{a}~{R},13~{b}~{S})-3-(1-hydroxy-1-methyl-ethyl)-5~{a},5~{b},8,8,11~{a},13~{b}-hexamethyl-2,3,3~{a},4,5,6,7,7~{a},10,11,11~{b},12,13,13~{a}-tetradecahydro-1~{H}-cyclopenta[a]chrysen-9-one",C30H50O2,442.73,7.43,37.3,2,1,1,0.46,1,0,0.97,2.51,Terpenoids,Triterpenoids,Hopane and Moretane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Hopanoids,,AfroDB,f,f,,COCONUT,True,True,NVNUNRUPWXZKAL,NPC473225,True,0.31993906770869995,113
CNP0343476.1,O=C1C(O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)=C(c2ccc(O)c(O)c2)Cc2cc(O)cc(O)c21,GVBAYGTWKOUQCU-UCKNYWNBSA-N,,"2-[(2~{S},3~{S},4~{R},5~{R})-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl]oxy-3-(3,4-dihydroxyphenyl)-6,8-dihydroxy-4~{H}-naphthalen-1-one",C21H20O10,432.38,0.11,177.14,10,7,4,0.33,1,2,0.29,2.21,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Naphthalenes,Benzenoids,Phenylnaphthalenes,,AfroDB|ZINC NP,t,t,,COCONUT,True,True,GVBAYGTWKOUQCU,,False,0.3197778706789255,114
