np_id,pref_name,smiles_npass,inchikey_npass,source_species,source_family,collection_location,dhfr_activity_type,dhfr_activity_value,dhfr_activity_units,dhfr_assay_organism,is_plasmodium_dhfr,mw,logp,hbd,hba,tpsa,qed,lipinski_pass,is_african_np
NPC131450,Leucovorin,O=CN1C(CNc2ccc(cc2)C(=O)N[C@H](C(=O)O)CCC(=O)O)CNc2c1c(O)nc(=N)[nH]2,VVIAGPKUTFNRDU-ABLWVSNPSA-N,Angelica acutiloba; Angelica gigas; Angelica sinensis; Capsicum annuum; Escherichia coli; Homo sapiens; Mus musculus,Apiaceae; Enterobacteriaceae; Hominidae; Muridae; Solanaceae,blood; n.a.,Ki,2370.0,nM,n.a.,False,473.44600000000025,-0.4884299999999992,8.0,9.0,220.82999999999998,0.20682573429016826,True,False
NPC321617,Quetiapine,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2,URKOMYMAXPYINW-UHFFFAOYSA-N,Homo sapiens,Hominidae,blood; cerebrospinal fluid,IC50,102000.0,nM,Bacillus anthracis,False,383.5170000000001,2.8560000000000016,1.0,6.0,48.300000000000004,0.8048695029648198,True,False
NPC203468,Tryptophan,c1ccc2c(c1)c(C[C@@H](C(=O)O)N)c[nH]2,QIVBCDIJIAJPQS-VIFPVBQESA-N,Abelmoschus esculentus; Acca sellowiana; Aconitum finetianum; Aconitum seravschanicum; Actinidia chinensis; Adansonia grandidieri; Aesculus chinensis; Agaricus bisporus; Allium ampeloprasum; Allium ascalonicum; Allium cepa; Allium chinense; Allium fistulosum; Allium macrostemon; Allium sativum; Allium schoenoprasum; Amelanchier alnifolia; Anacardium occidentale; Ananas comosus; Anarhichas lupus; Anethum foeniculum; Anethum graveolens; Annona cherimola; Annona muricata; Annona reticulata; Annona squamosa; Anoplophora chinensis; Anoplopoma fimbria; Anthriscus cerefolium; Apium graveolens; Arachis hypogaea; Archosargus probatocephalus; Arctium lappa; Armoracia rusticana; Artocarpus altilis; Artocarpus heterophyllus; Asparagus officinalis; Aspergillus fumigatus; Aster sedifolius; Avena sativa; Averrhoa carambola; Baphicacanthus cusia; Basella alba; Bassia muricata; Belone belone; Benincasa hispida; Bertholletia excelsa; Beta vulgaris; Bos taurus; Brassica juncea; Brassica napus; Brassica oleracea; Brassica rapa; Brassica rapa Broccoletto Group; Brosimum alicastrum; Brosme brosme; Bupleurum smithii; Burkholderia cepacia; Cajanus cajan; Calvatia fenzlii; Calvatia gigantea ; Camellia sinensis; Canarium ovatum; Capra aegagrus; Capsicum annuum; Carica papaya; Carthamus tinctorius; Carum carvi; Carya illinoinensis; Castanea sativa; Castilleja sulphurea; Caulocystis cephalornithos; Centaurea solstitialis; Ceratonia siliqua; Chanos chanos; Chenopodium album; Chenopodium quinoa; Cicer arietinum; Cichorium endivia; Cichorium intybus; Cinnamomum aromaticum; Citrullus lanatus; Citrus aurantiifolia; Citrus latifolia; Citrus limon; Citrus reticulata; Citrus sinensis; Citrus x paradisi; Cocos nucifera; Coffea arabica; Coffea canephora; Colocasia esculenta; Corchorus olitorius; Coregonus artedi; Coryphaena hippurus; Crassostrea virginica; Cryptocarya oblata; Cucumis melo; Cucumis sativus; Cucurbita maxima; Cucurbita moschata; Cucurbita pepo; Curcuma caesia; Cyprinus carpio; Daemonorops draco; Daucus carota; Dendriopoterium menendezii; Dictyopteris australis; Dioscorea pentaphylla; Diospyros kaki; Diospyros virginiana; Dodonaea viscosa; Drosera rotundifolia; Dysoxylum cumingianum; Enceliopsis argophylla; Epichloe festucae; Eragrostis tef; Eriocheir sinensis; Escherichia coli; Eumetopias jubatus; Fagopyrum esculentum; Ficus carica; Ficus simplicissima; Flacourtia jangomas; Flammulina velutipes; Forsythia japonica; Fragaria x ananassa; Fusarium avenaceum; Fusarium sacchari; Gadus morhua callarias; Garrya laurifolia; Geraea canescens; Ginkgo biloba; Glehnia littoralis; Glycine max; Goupia glabra; Grifola frondosa; Hedysarum polybotrys; Helianthus annuus; Helianthus tuberosus; Hippoglossus hippoglossus; Homo sapiens; Hordeum vulgare; Humulus lupulus; Huperzia miyoshiana; Ictalurus punctatus; Inga velutina; Ipomoea aquatica; Ipomoea batatas; Isaria fumosorosea; Isatis tinctoria; Juglans cinerea; Juglans regia; Katsuwonus pelamis; Lablab purpureus; Lactuca sativa; Lactuca serriola; Lagenaria siceraria; Laggera alata; Launaea cornuta; Leiostomus xanthurus; Lens culinaris; Lentinula edodes; Lepidium sativum; Lindera aggregata; Linum usitatissimum; Litchi chinensis; Lithothamnion corallioides; Lophius piscatorius; Lopholatilus chamaeleonticeps; Lota lota; Lupinus albus; Malus pumila; Mammea americana; Mangifera indica; Manihot esculenta; Manilkara zapota; Maranta arundinacea; Medinilla magnifica; Melanogrammus aeglefinus; Melothria sphaerocarpa; Mentha X piperita; Mentha spicata; Mesua ferrea; Microstomus kitt; Miliusa velutina; Molva molva; Monopteryx uaucu; Moringa oleifera; Mus musculus; Musa X paradisiaca; Musa acuminata; Nasturtium officinale; Nelumbo nucifera; Neobalanocarpus heimii; Nephrops norvegicus; Nopalea cochenillifera; Ocimum basilicum; Oenothera biennis; Oncorhynchus gorbuscha; Oncorhynchus keta; Oncorhynchus kisutch; Oncorhynchus mykiss; Oncorhynchus nerka; Oncorhynchus tshawytscha; Onobrychis arenaria; Onobrychis bobrovii; Onobrychis viciifolia; Ophiodon elongatus; Origanum vulgare; Oryza sativa; Panicum miliaceum; Papaver somniferum; Pastinaca sativa; Pediomelum esculentum; Peprilus triacanthus; Perilla frutescens; Persea americana; Persicaria orientalis; Persicaria tinctoria; Petroselinum crispum; Petteria ramentacea; Phaseolus lunatus; Phaseolus vulgaris; Phelline lucida; Phoebe zhennan; Phoenix dactylifera; Phyllostachys edulis; Physalis alkekengi; Pinellia ternata; Pinus edulis; Piper nigrum; Pistacia vera; Pisum sativum; Pleurotus ostreatus; Podospora curvicolla; Polygonum cuspidatum; Pomatomus saltatrix; Porphyra laciniata; Portulaca oleracea; Pouteria sapota; Prunus armeniaca; Prunus avium; Prunus domestica; Prunus dulcis; Prunus persica; Prunus tomentosa; Pseudobrickellia brasiliensis; Psidium cattleyanum; Psidium guajava; Psophocarpus tetragonolobus; Psychotria stachyoides; Pyrus communis; Pyrus pyrifolia; Raphanus sativus; Rattus rattus; Reinhardtius hippoglossoides; Rhaphiolepis bibas; Rheum rhabarbarum; Rhododendron latoucheae; Rhododendron mucronatum; Ribes nigrum; Ribes rubrum; Ribes uva-crispa; Rubus idaeus; Russula japonica; Saccharomyces cerevisiae; Salmo salar; Salvia hispanica; Salvia rosmarinus; Saussurea muliensis; Scophthalmus maximus; Secale cereale; Senecio cathcartensis; Sequoia sempervirens; Sesamum indicum; Sesbania bispinosa; Sicyos edulis; Sinapis alba; Solanum lycopersicum; Solanum melongena; Solanum tuberosum; Sorghum bicolor; Spinacia oleracea; Stenodus leucichthys; Stenotomus chrysops; Streptomyces amakusaensis; Streptomyces viridogenes; Strychnos tricalysioides; Sus scrofa; Sus scrofa domesticus; Syzygium aromaticum; Tamarindus indica; Theobroma cacao; Thunnus alalunga; Thunnus albacares; Thunnus thynnus; Thymus vulgaris; Trichodesma incanum; Trigonella foenum-graecum; Triticosecale rimpaui; Triticum aestivum; Triticum spelta; Triticum turgidum; Undaria pinnatifida; Urochloa decumbens; Vaccinium corymbosum; Vaccinium macrocarpon; Vaccinium myrtillus; Vaccinium vitis-idaea; Valerianella locusta; Vicia faba; Vigna aconitifolia; Vigna angularis; Vigna mungo; Vigna radiata; Vigna unguiculata; Vitis vinifera; Xanthorrhoea resinosa; Xiphias gladius; Zea mays; Zingiber officinale; isatis indigotica ; n.a.,Acanthaceae; Actinidiaceae; Agaricaceae; Alariaceae; Amaryllidaceae; Anacardiaceae; Annonaceae; Aphididae; Apiaceae; Araceae; Arecaceae; Asparagaceae; Aspergillaceae; Asphodelaceae; Asteraceae; Bangiaceae; Basellaceae; Boraginaceae; Bovidae; Brassicaceae; Bromeliaceae; Burkholderiaceae; Burseraceae; Calophyllaceae; Campanulaceae; Cannabaceae; Caricaceae; Celastraceae; Cerambycidae; Characeae; Chenopodiaceae; Clavicipitaceae; Convolvulaceae; Cordycipitaceae; Cucurbitaceae; Cupressaceae; Cyprinidae; Cytophagaceae; Dictyotaceae; Dioscoreaceae; Dipterocarpaceae; Droseraceae; Ebenaceae; Enterobacteriaceae; Ericaceae; Euphorbiaceae; Fabaceae; Fagaceae; Gadidae; Garryaceae; Geometridae; Ginkgoaceae; Goupiaceae; Grossulariaceae; Hapalidiaceae; Hominidae; Juglandaceae; Lamiaceae; Lasiosphaeriaceae; Lauraceae; Lecideaceae; Lecythidaceae; Limoniidae; Linaceae; Loganiaceae; Lycoperdaceae; Lycopodiaceae; Malvaceae; Melastomataceae; Meliaceae; Moraceae; Moringaceae; Muridae; Musaceae; Myrtaceae; Nectriaceae; Nelumbonaceae; Oleaceae; Omphalotaceae; Onagraceae; Orchidaceae; Orobanchaceae; Ostreidae; Oxalidaceae; Papaveraceae; Pedaliaceae; Phellinaceae; Physalacriaceae; Pinaceae; Piperaceae; Pleuronectidae; Pleurotaceae; Poaceae; Polygonaceae; Portulacaceae; Ranunculaceae; Rivulariaceae; Rosaceae; Rubiaceae; Russulaceae; Rutaceae; Saccharomycetaceae; Salicaceae; Salmonidae; Sapindaceae; Sapotaceae; Sargassaceae; Schizophyllaceae; Scombridae; Solanaceae; Streptomycetaceae; Suidae; Theaceae; Varunidae; Vitaceae; Xeniidae; Zingiberaceae; n.a.,Djanga in the Sudanian climatic zone in southwest Burkina Faso; blood; breast milk; cerebrospinal fluid; faeces; n.a.; saliva; urine,Ki,2800000.0,nM,Homo sapiens,False,204.22899999999998,1.1222999999999996,3.0,2.0,79.10999999999999,0.7005840997557369,True,False
NPC109403,Daunorubicin,COc1cccc2c1C(=O)c1c(C2=O)c(O)c2c(c1O)[C@@H](O[C@H]1C[C@H](N)[C@@H]([C@@H](O1)C)O)C[C@](C2)(O)C(=O)C,STQGQHZAVUOBTE-VGBVRHCVSA-N,Streptomyces sp.,Streptomycetaceae,Australian,Log 1/C,7.1,n.a.,n.a.,False,527.5260000000002,1.0288999999999997,5.0,11.0,185.83999999999997,0.3051291560965149,True,False
NPC160666,Puromycin,CN(C)c1c2c(ncn1)n(cn2)[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)N=C([C@H](Cc1ccc(cc1)OC)N)O)O,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,Acronychia pubescens; Cleistochlamys kirkii; Corymbia torelliana; Eremophila microtheca; Flindersia pimenteliana; Millettia usaramensis; Sphaerocoryne gracilis; n.a.,Annonaceae; Fabaceae; Myrtaceae; Rutaceae; Scrophulariaceae; Streptomycetaceae; n.a.,n.a.,Log 1/C,6.41,n.a.,n.a.,False,471.51800000000026,0.04660000000000164,4.0,11.0,164.37,0.2604646730923459,True,False
NPC473429,Congo Red,Nc1c(/N=N/c2ccc(cc2)c2ccc(cc2)/N=N/c2cc(c3c(c2N)cccc3)S(=O)(=O)[O-])cc(c2c1cccc2)S(=O)(=O)[O-].[Na+].[Na+],IQFVPQOLBLOTPF-HKXUKFGYSA-L,Curcuma longa,Zingiberaceae,n.a.,Concentration,0.4,uM,n.a.,False,696.6780000000005,1.4714000000000025,2.0,12.0,215.87999999999997,0.1075954879165636,False,False
NPC111088,Naproxen,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,CMWTZPSULFXXJA-VIFPVBQESA-N,Homo sapiens; Plantago major; Prangos haussknechtii,Apiaceae; Hominidae; Plantaginaceae,blood; n.a.,Ki,7000000.0,nM,Homo sapiens,False,230.26299999999998,3.036500000000001,1.0,2.0,46.53,0.8810778082204155,True,False
NPC74760,QMNFFXRFOJIOKZ-UHFFFAOYSA-N,CC1(C)NC(=N)NC(=N)N1c1ccc(cc1)Cl,QMNFFXRFOJIOKZ-UHFFFAOYSA-N,Miliusa cuneata; n.a.,Annonaceae; n.a.,n.a.,Ki,1.1,nM,Plasmodium falciparum,True,251.721,1.9448399999999992,4.0,2.0,75.0,0.6163196038348664,True,False
NPC250436,Epigalocatechin Gallate,c1c(cc(c(c1O)O)O)[C@@H]1[C@@H](Cc2c(cc(cc2O1)O)O)OC(=O)c1cc(c(c(c1)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,Acorus tatarinowii; Alyxia reinwardtii; Angelica lucida; Aristolochia zollingeriana; Aronia melanocarpa; Artemisia klotzchiana; Artemisia maritima; Astraeus pteridis; Astragalus cibarius; Bacillus subtilis; Bartramia pomiformis; Bitis gabonica; Boronia coerulescens; Camellia sinensis; Cedrus libani; Centaurea benedicta; Centaurea linifolia; Cerinthe minor; Cistus clusii; Cneoridium dumosum; Conoideocrella luteorostrata; Cotula cinerea; Craspidospermum verticillatum; Daphniphyllum paxianum; Daucus carota; Dendrodoris tuberculosa; Dermocybe canaria; Dioscorea japonica; Ehretia dicksonii; Elephantopus mollis; Euonymus maackii; Euphorbia hirta; Euryops algoensis; Garcinia mangostana; Gardenia jasminoides; Ginkgo biloba; Gomortega keule; Hamamelis virginiana; Hemerocallis fulva; Hibiscus sabdariffa; Honorius nutans; Hylotelephium telephium; Hypericum ascyron; Ilex purpurea; Iris ensata; Ixeris stolonifera; Keiferia lycopersicella; Khaya ivorensis; Khaya senegalensis; Larix cajanderi; Lejeunea pallescens; Lespedeza bicolor; Leucopaxillus gentianeus; Limonium gmelinii; Limonium sinense; Litsea pungens; Lotus japonicus; Manilkara zapota; Matricaria chamomilla; Melochia tomentosa; Microtropis fokienensis; Mimusops caffra; Morus alba; Naja kaouthia; Nerine bowdenii; Nuphar lutea; Oophaga pumilio; Oscillochloris trichoides; Ovophis okinavensis; Panax japonicus; Parapiptadenia rigida; Penicillium herquei; Penicillium kapuscinskii; Penicillium paxilli; Persea americana; Phoenix loureiroi; Picea mariana; Pieris napi; Prunus salicina; Quercus robur; Rhodiola crenulata; Rosa rugosa; Rubia oncotricha; Senegalia catechu; Senna siamea; Serratula inermis; Sesbania bispinosa; Sextonia rubra; Sinularia maxima; Solanum nigrum; Sorbaria sorbifolia; Streptomyces hachijoensis; Streptomyces paulus; Streptomyces xanthochromogenes; Strophanthus kombe; Tacca chantrieri; Terminalia ivorensis; Thymus vulgaris; Triaenophora rupestris; Turpinia ternata; Veratrum dahuricum; Veronica arvensis; Viburnum urceolatum; Vitellaria paradoxa; Xylaria cubensis; Ziziphus jujuba; myrica rubra ; n.a.,Acanthaceae; Acoraceae; Adoxaceae; Alcyoniidae; Amaryllidaceae; Apiaceae; Apocynaceae; Aquifoliaceae; Araliaceae; Arecaceae; Aristolochiaceae; Aspergillaceae; Asteraceae; Astraeaceae; Bacillaceae; Balanophoraceae; Bartramiaceae; Boraginaceae; Caprifoliaceae; Caricaceae; Caryophyllaceae; Celastraceae; Cistaceae; Clavicipitaceae; Clusiaceae; Coccidae; Combretaceae; Cordycipitaceae; Cortinariaceae; Crassulaceae; Daphniphyllaceae; Dendrobatidae; Dendrodorididae; Dictyotaceae; Dioscoreaceae; Dysideidae; Ehretiaceae; Elapidae; Euphorbiaceae; Fabaceae; Fagaceae; Gelechiidae; Ginkgoaceae; Gomortegaceae; Hamamelidaceae; Hyacinthaceae; Hypericaceae; Iridaceae; Lamiaceae; Lauraceae; Lejeuneaceae; Malvaceae; Melanthiaceae; Meliaceae; Moraceae; Myricaceae; Myristicaceae; Myrtaceae; Namaceae; Nymphaeaceae; Orobanchaceae; Oscillochloridaceae; Parmeliaceae; Pereziidae; Pieridae; Pinaceae; Plantaginaceae; Plumbaginaceae; Pseudodistomidae; Ramalinaceae; Ranunculaceae; Rhamnaceae; Rosaceae; Rubiaceae; Rutaceae; Sagartiidae; Sapotaceae; Scarabaeidae; Scrophulariaceae; Solanaceae; Staphyleaceae; Streptomycetaceae; Taccaceae; Theaceae; Tricholomataceae; Viperidae; Xanthorrhoeaceae; Xylariaceae; Xyridaceae; Zingiberaceae; n.a.,"Santa Maria, Rio Grande do Sul, Brazil; bark; n.a.",Activity,0.92,uM,Homo sapiens,False,458.37500000000017,2.2332000000000014,8.0,11.0,197.36999999999998,0.21150323672030336,False,False
NPC481151,DCOPUUMXTXDBNB-UHFFFAOYSA-N,c1ccc(c(c1)CC(=O)O)Nc1c(cccc1Cl)Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,Chamaemelum nobile; Zinnia grandiflora,Asteraceae,n.a.,Ki,160000.0,nM,Homo sapiens,False,296.153,4.364100000000001,2.0,2.0,49.33,0.8807285394160607,True,False
NPC339651,IEDVJHCEMCRBQM-UHFFFAOYSA-N,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(c1OC)OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,Verrucosispora sp.,Micromonosporaceae,n.a.,IC50,5e-08,nM,n.a.,False,290.3230000000001,0.9183399999999999,4.0,5.0,106.97,0.6573221316588556,True,False
NPC331654,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2c(c(N)[nH]c(=N)n2)n1)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,FBOZXECLQNJBKD-ZDUSSCGKSA-N,Asimina triloba; Dolichousnea longissima; Quambalaria cyanescens,Annonaceae; Parmeliaceae; Quambalariaceae,n.a.,IC50,3.3e-12,ug.mL-1,Lactobacillus casei,False,454.44700000000023,0.09876999999999969,6.0,9.0,211.26999999999998,0.2564381260884742,True,False
NPC147983,Folic Acid,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(O)nc(=N)[nH]2,OVBPIULPVIDEAO-LBPRGKRZSA-N,Aaptos aaptos; Abelmoschus esculentus; Acca sellowiana; Actinidia chinensis; Actinidia deliciosa; Agaricus bisporus; Allium ampeloprasum; Allium ascalonicum; Allium fistulosum; Allium sativum; Allium schoenoprasum; Alstonia muelleriana; Anacardium occidentale; Ananas comosus; Anarhichas lupus; Anethum foeniculum; Anethum graveolens; Angelica acutiloba; Angelica gigas; Angelica sinensis; Annona cherimola; Annona muricata; Annona squamosa; Anoplopoma fimbria; Anthriscus cerefolium; Apium graveolens; Arachis hypogaea; Archosargus probatocephalus; Arctium lappa; Armoracia rusticana; Aronia melanocarpa; Artemisia dracunculus; Artocarpus altilis; Artocarpus heterophyllus; Asparagus officinalis; Aspergillus unguis; Auricularia auricula-judae; Auricularia polytricha; Avena sativa; Averrhoa carambola; Basella alba; Belone belone; Benincasa hispida; Bertholletia excelsa; Beta vulgaris; Borago officinalis; Bos taurus; Brassica juncea; Brassica napus; Brassica oleracea; Brassica perviridis; Brassica rapa; Brassica rapa Broccoletto Group; Brosimum alicastrum; Brosme brosme; Byrsonima crassifolia; Cajanus cajan; Camellia sinensis; Canarium ovatum; Cantharellus cibarius; Capparis spinosa; Capra aegagrus; Capsicum annuum; Carica papaya; Carthamus tinctorius; Carum carvi; Carya illinoinensis; Castanopsis sclerophylla; Ceratonia siliqua; Chamaenerion angustifolium; Chanos chanos; Chelonia mydas; Chenopodium album; Chenopodium quinoa; Chondrus crispus; Cicer arietinum; Cichorium endivia; Cichorium intybus; Cinnamomum aromaticum; Citrullus lanatus; Citrus aurantiifolia; Citrus latifolia; Citrus limon; Citrus reticulata; Citrus sinensis; Citrus x paradisi; Cocos nucifera; Coffea arabica; Coffea canephora; Colocasia esculenta; Conocephalum japonicum; Corchorus olitorius; Cordylanthus kingii; Coregonus artedi; Coriandrum sativum; Corylus avellana; Coryphaena hippurus; Crassostrea virginica; Crinipellis scabella; Crocus sativus; Cucumis melo; Cucumis metulifer; Cucumis sativus; Cucurbita maxima; Cucurbita moschata; Cucurbita pepo; Cuminum cyminum; Curcuma longa; Cydonia oblonga; Cymbopogon citratus; Cynara cardunculus; Cyprinus carpio; Cystophora scalaris; Dacrydium cupressinum; Daucus carota; Dioscorea pentaphylla; Diospyros kaki; Durio zibethinus; Dysphania ambrosioides; Eragrostis tef; Erignathus barbatus; Eruca vesicaria; Eunicella cavolinii; Eutrema japonicum; Fagopyrum esculentum; Ficus carica; Flammulina velutipes; Foeniculum vulgare; Forsteronia refracta; Fragaria x ananassa; Fridericia chica; Garcinia mangostana; Ginkgo biloba; Glebionis coronaria; Glycine max; Glycine tomentella; Grifola frondosa; Gymnocarpium robertianum; Haematococcus lacustris; Helianthus annuus; Helianthus tuberosus; Heliotropium floridum; Heterotheca grandiflora; Hibiscus sabbariffa; Hippoglossus hippoglossus; Hippophae rhamnoides; Homo sapiens; Hordeum vulgare; Hovenia acerba; Hypoxylon rubiginosum; Ictalurus punctatus; Ipomoea aquatica; Ipomoea batatas; Juglans cinerea; Juglans nigra; Juglans regia; Kaempferia marginata; Katsuwonus pelamis; Kaunia saltensis; Lablab purpureus; Lactuca sativa; Lagenaria siceraria; Laurus nobilis; Leiostomus xanthurus; Lens culinaris; Lentinula edodes; Lepidium sativum; Lepus timidus; Limanda limanda; Linum usitatissimum; Litchi chinensis; Lophius piscatorius; Lopholatilus chamaeleonticeps; Lota lota; Luffa aegyptiaca; Lupinus albus; Malpighia emarginata; Malus pumila; Mammea americana; Mangifera indica; Manihot esculenta; Manilkara zapota; Maranta arundinacea; Medicago sativa; Melanogrammus aeglefinus; Mentha X piperita; Mentha spicata; Microstomus kitt; Molva molva; Momordica charantia; Moringa oleifera; Morus nigra; Mus musculus; Musa X paradisiaca; Musa acuminata; Myristica fragrans; Narcissus concolor; Nasturtium officinale; Nauclea officinalis; Nelumbo nucifera; Nephelium lappaceum; Nephrops norvegicus; Nicotiana undulata; Nopalea cochenillifera; Nuphar lutea; Ocimum basilicum; Octopus vulgaris; Oncorhynchus gorbuscha; Oncorhynchus keta; Oncorhynchus kisutch; Oncorhynchus mykiss; Oncorhynchus nerka; Oncorhynchus tshawytscha; Ophiodon elongatus; Ophiolepis superba; Origanum majorana; Origanum vulgare; Oryza sativa; Pachyrhizus erosus; Panicum miliaceum; Papaver somniferum; Papilio phorcas; Passiflora edulis; Passiflora incarnata; Pastinaca sativa; Pediomelum esculentum; Peprilus triacanthus; Perideridia oregana; Persea americana; Petasites japonicus; Petroselinum crispum; Phaseolus lunatus; Phaseolus vulgaris; Phoenix dactylifera; Phyllostachys edulis; Physalis philadelphica; Phytolacca americana; Pimenta dioica; Pimpinella anisum; Piper nigrum; Pistacia vera; Pisum sativum; Pleurotus ostreatus; Polycephalomyces nipponicus; Pomatomus saltatrix; Porphyra laciniata; Portulaca oleracea; Pouteria sapota; Prunus armeniaca; Prunus avium; Prunus cerasus; Prunus domestica; Prunus dulcis; Prunus persica; Prunus virginiana; Psidium guajava; Psophocarpus tetragonolobus; Pterocladiella tenuis; Punica granatum; Pyrus communis; Pyrus pyrifolia; Raphanus sativus; Reinhardtius hippoglossoides; Rhaphiolepis bibas; Rheum rhabarbarum; Ribes nigrum; Ribes rubrum; Ribes uva-crispa; Rubrivivax gelatinosus; Rubus idaeus; Rubus spectabilis; Rubus ursinus; Rubus x loganobaccus; Rumex acetosa; Ruta pinnata; Saccharina japonica; Sagittaria latifolia; Salmo salar; Salvelinus namaycush; Salvia dorrii; Salvia hispanica; Salvia officinalis; Salvia rosmarinus; Scophthalmus maximus; Secale cereale; Senecio paludaffinis; Sesamum indicum; Sesbania bispinosa; Sicyos edulis; Sinapis alba; Solanum lycopersicum; Solanum melongena; Solanum quitoense; Solanum tuberosum; Sorghum bicolor; Spinacia oleracea; Squalus acanthias; Stenodus leucichthys; Stenotomus chrysops; Stevia polycephala; Streptomyces flocculus; Streptomyces parvisporogenes; Sus scrofa; Sus scrofa domesticus; Syzygium aromaticum; Syzygium cumini; Tamarindus indica; Taraxacum officinale; Theobroma cacao; Thunnus alalunga; Thunnus albacares; Thunnus thynnus; Thymus vulgaris; Tragopogon porrifolius; Trichilia rubescens; Trigonella foenum-graecum; Trigonella grandiflora; Tripolium pannonicum; Triticosecale rimpaui; Triticum aestivum; Triticum spelta; Triticum turgidum; Typha angustifolia; Undaria pinnatifida; Uvaria calamistrata; Vaccinium corymbosum; Vaccinium macrocarpon; Vaccinium myrtillus; Vaccinium ovalifolium; Vaccinium vitis-idaea; Valerianella locusta; Vicia faba; Vigna aconitifolia; Vigna angularis; Vigna mungo; Vigna radiata; Vigna unguiculata; Vitis rotundifolia; Vitis vinifera; Xanthosoma sagittifolium; Xiphias gladius; Zea mays; Zingiber officinale; n.a.,Actinidiaceae; Agaricaceae; Alariaceae; Alismataceae; Amaryllidaceae; Anacardiaceae; Annonaceae; Apiaceae; Apocynaceae; Araceae; Araliaceae; Arecaceae; Asparagaceae; Aspergillaceae; Asteraceae; Auriculariaceae; Bangiaceae; Basellaceae; Betulaceae; Bignoniaceae; Blechnaceae; Boraginaceae; Bovidae; Brassicaceae; Bromeliaceae; Burseraceae; Calophyllaceae; Cantharellaceae; Capparaceae; Caricaceae; Cheloniidae; Chenopodiaceae; Clusiaceae; Conocephalaceae; Convolvulaceae; Cucurbitaceae; Cyprinidae; Cystopteridaceae; Dioscoreaceae; Ebenaceae; Elaeagnaceae; Ericaceae; Euphorbiaceae; Fabaceae; Fagaceae; Gelidiaceae; Gigartinaceae; Ginkgoaceae; Gorgoniidae; Grossulariaceae; Haematococcaceae; Heliotropiaceae; Hominidae; Iridaceae; Juglandaceae; Lamiaceae; Laminariaceae; Lauraceae; Lecythidaceae; Linaceae; Lythraceae; Malpighiaceae; Malvaceae; Marasmiaceae; Meliaceae; Melianthaceae; Moraceae; Moringaceae; Muridae; Musaceae; Myristicaceae; Myrtaceae; Nelumbonaceae; Nymphaeaceae; Octopodidae; Omphalotaceae; Ophiocordycipitaceae; Ophiolepididae; Orobanchaceae; Ostreidae; Oxalidaceae; Papaveraceae; Papilionidae; Passifloraceae; Pedaliaceae; Physalacriaceae; Phytolaccaceae; Piperaceae; Pleuronectidae; Pleurotaceae; Poaceae; Podocarpaceae; Polygonaceae; Portulacaceae; Ranunculaceae; Rhamnaceae; Rosaceae; Rubiaceae; Rutaceae; Saccharomycetaceae; Salicaceae; Salmonidae; Sapindaceae; Sapotaceae; Sargassaceae; Schizophyllaceae; Scombridae; Serranidae; Solanaceae; Squalidae; Streptomycetaceae; Suberitidae; Suidae; Theaceae; Typhaceae; Vitaceae; Xylariaceae; Zingiberaceae; n.a.,blood; cerebrospinal fluid; cytoplasm; n.a.; urine,Kd,810.0,nM,Escherichia coli,False,441.40400000000017,0.1978699999999991,7.0,9.0,214.26999999999998,0.2392517371612857,True,False
