GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4990,4.2,13.58,11.46,-1.77,23.31,7.98,-151.57,-14.92,2.2,-92.81,-12.72,-105.53

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,0.0,-0.0,-0.0,-26.13,-12.0,0.0,0.0,20.63,-3.3,-38.13,17.33,-20.8
1070,0.0,0.0,-0.0,-23.34,-13.92,-0.0,-0.0,19.59,-3.1,-37.26,16.49,-20.77
1140,0.0,-0.0,-0.0,-24.3,-13.49,-0.0,0.0,20.12,-3.23,-37.8,16.89,-20.91
1210,0.0,0.0,0.0,-27.07,-13.32,-0.0,0.0,22.84,-3.61,-40.39,19.23,-21.16
1280,-0.0,-0.0,0.0,-23.8,-6.09,-0.0,0.0,18.26,-3.14,-29.88,15.12,-14.77
1350,-0.0,0.0,-0.0,-25.51,-2.79,-0.0,0.0,16.88,-3.35,-28.3,13.53,-14.77
1420,-0.0,0.0,0.0,-17.66,-8.38,-0.0,0.0,21.23,-2.56,-26.04,18.67,-7.37
1490,-0.0,-0.0,0.0,-27.53,-14.12,-0.0,0.0,22.6,-3.27,-41.65,19.33,-22.32
1560,-0.0,0.0,-0.0,-26.9,-21.31,-0.0,0.0,23.3,-3.33,-48.21,19.97,-28.24
1630,0.0,-0.0,0.0,-24.23,-2.0,-0.0,0.0,16.81,-3.16,-26.22,13.65,-12.57
1700,-0.0,0.0,0.0,-27.12,-16.75,-0.0,0.0,26.17,-3.56,-43.87,22.6,-21.27
1770,-0.0,-0.0,-0.0,-27.91,-13.59,-0.0,-0.0,23.57,-3.1,-41.5,20.47,-21.02
1840,0.0,0.0,-0.0,-27.44,-10.83,-0.0,0.0,22.57,-3.51,-38.26,19.06,-19.2
1910,0.0,0.0,-0.0,-25.71,-14.42,0.0,0.0,22.07,-3.52,-40.13,18.55,-21.58
1980,-0.0,-0.0,-0.0,-25.48,-17.04,-0.0,0.0,20.88,-2.96,-42.52,17.91,-24.61
2050,0.0,-0.0,0.0,-26.98,-3.31,0.0,0.0,19.47,-3.46,-30.3,16.02,-14.28
2120,0.0,0.0,0.0,-25.92,-22.97,-0.0,-0.0,25.59,-3.14,-48.9,22.45,-26.45
2190,-0.0,0.0,-0.0,-25.57,-13.61,-0.0,-0.0,20.52,-3.29,-39.18,17.23,-21.95
2260,0.0,-0.0,-0.0,-28.3,-17.48,-0.0,-0.0,25.93,-3.32,-45.78,22.61,-23.17
2330,0.0,0.0,-0.0,-22.59,-3.08,-0.0,-0.0,17.25,-3.07,-25.68,14.18,-11.5
2400,-0.0,0.0,-0.0,-27.93,-17.56,0.0,0.0,21.62,-3.32,-45.49,18.31,-27.18
2470,-0.0,-0.0,0.0,-25.45,-18.58,-0.0,-0.0,21.15,-3.29,-44.02,17.86,-26.16
2540,-0.0,0.0,0.0,-29.72,-16.2,0.0,-0.0,21.8,-3.37,-45.92,18.43,-27.49
2610,-0.0,-0.0,0.0,-25.0,-15.72,-0.0,-0.0,23.13,-3.16,-40.72,19.97,-20.75
2680,0.0,-0.0,-0.0,-29.13,-14.08,-0.0,-0.0,23.87,-3.62,-43.21,20.25,-22.95
2750,0.0,0.0,-0.0,-28.09,-14.69,0.0,0.0,22.34,-3.35,-42.78,18.99,-23.79
2820,-0.0,0.0,-0.0,-23.75,0.97,-0.0,-0.0,12.07,-2.71,-22.78,9.36,-13.42
2890,-0.0,-0.0,0.0,-21.52,-2.99,-0.0,-0.0,14.35,-2.94,-24.51,11.4,-13.1
2960,-0.0,-0.0,0.0,-18.09,-4.73,0.0,0.0,14.67,-2.63,-22.82,12.04,-10.78
3030,0.0,-0.0,-0.0,-19.19,1.87,-0.0,0.0,12.89,-2.79,-17.32,10.1,-7.22
3100,-0.0,-0.0,-0.0,-21.7,-4.66,-0.0,-0.0,16.07,-3.07,-26.37,12.99,-13.37
3170,-0.0,-0.0,0.0,-22.58,-1.63,-0.0,-0.0,14.25,-3.08,-24.21,11.17,-13.04
3240,-0.0,0.0,0.0,-20.74,-7.33,-0.0,0.0,20.29,-3.24,-28.07,17.04,-11.03
3310,-0.0,-0.0,0.0,-21.15,-9.31,0.0,-0.0,20.78,-2.94,-30.46,17.84,-12.62
3380,-0.0,-0.0,-0.0,-19.99,-6.03,0.0,0.0,17.1,-2.7,-26.02,14.4,-11.62
