GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1770,11.24,27.87,32.44,-3.46,-136.73,20.92,104.64,-38.6,3.61,0.0,56.93,-34.99,21.94
1840,17.02,23.4,30.61,0.34,-133.56,19.65,103.53,-40.22,3.6,0.0,60.99,-36.63,24.36
1910,13.24,27.06,40.18,-2.83,-131.76,19.46,103.44,-40.13,3.65,0.0,68.8,-36.48,32.32
1980,23.25,25.85,30.49,-0.88,-132.91,17.96,103.55,-40.2,3.63,0.0,67.3,-36.58,30.72
2050,14.28,27.84,36.7,-3.95,-135.09,19.54,103.9,-39.0,3.6,0.0,63.22,-35.4,27.83
2120,19.58,37.11,38.51,-3.94,-134.39,22.19,103.31,-39.28,3.62,0.0,82.39,-35.66,46.73
2190,16.28,25.17,40.06,-3.52,-134.17,18.42,103.5,-38.74,3.66,0.0,65.73,-35.08,30.64
2260,16.51,34.32,35.98,-2.35,-131.07,17.99,102.1,-41.01,3.64,0.0,73.47,-37.37,36.1
2330,15.74,32.81,32.68,-0.53,-136.44,21.68,103.5,-38.97,3.63,0.0,69.46,-35.34,34.12
2400,15.48,20.87,37.66,-3.58,-137.44,18.13,106.64,-38.21,3.66,0.0,57.76,-34.55,23.21
2470,16.77,27.49,32.19,-3.08,-133.89,17.49,102.59,-38.04,3.61,0.0,59.56,-34.43,25.13
2540,15.08,29.08,31.61,-0.66,-139.06,21.3,106.13,-38.49,3.62,0.0,63.49,-34.87,28.62
2610,16.32,31.82,28.06,-1.19,-135.48,17.79,103.77,-39.34,3.64,0.0,61.09,-35.7,25.39
2680,16.28,27.84,31.61,2.08,-136.3,17.51,104.16,-38.12,3.57,0.0,63.18,-34.54,28.64
2750,10.85,37.23,30.97,-1.9,-123.99,21.6,104.2,-46.25,3.65,0.0,78.97,-42.6,36.37
2820,16.54,34.81,32.38,-2.87,-136.61,20.5,106.11,-40.31,3.58,0.0,70.85,-36.72,34.13
2890,20.77,27.56,28.49,-2.64,-134.39,15.62,103.01,-39.05,3.59,0.0,58.42,-35.45,22.96
2960,15.89,21.52,35.98,-3.73,-131.53,17.9,104.14,-42.01,3.66,0.0,60.17,-38.34,21.83
3030,9.81,31.78,40.84,-3.86,-134.65,22.87,104.4,-39.64,3.61,0.0,71.19,-36.03,35.17
3100,12.14,29.69,33.89,-3.39,-134.96,19.41,104.81,-39.95,3.64,0.0,61.6,-36.31,25.29
3170,11.55,35.05,34.07,-2.36,-130.98,18.84,102.82,-40.73,3.62,0.0,69.0,-37.1,31.89
3240,11.34,32.01,34.13,-3.6,-136.17,20.96,105.13,-39.51,3.64,0.0,63.8,-35.87,27.93
3310,13.99,29.7,41.07,-4.62,-130.73,19.65,103.58,-42.51,3.7,0.0,72.64,-38.81,33.83
3380,11.69,28.22,34.95,-2.15,-134.34,18.14,103.11,-38.83,3.6,0.0,59.63,-35.24,24.39
3450,14.89,29.7,31.23,-2.38,-137.8,19.68,104.77,-39.6,3.62,0.0,60.11,-35.98,24.13
3520,11.57,19.45,30.48,-0.56,-135.0,19.4,104.65,-39.95,3.64,0.0,49.99,-36.31,13.68
3590,16.97,33.12,39.69,-1.69,-139.0,22.08,107.91,-39.26,3.61,0.0,79.08,-35.65,43.42
3660,15.84,28.52,35.06,-5.69,-131.5,17.85,104.3,-43.02,3.67,0.0,64.37,-39.34,25.02
3730,15.18,25.68,34.71,-0.27,-129.73,18.01,102.98,-42.22,3.66,0.0,66.55,-38.56,28.0
3800,18.55,30.16,28.58,-4.67,-139.88,19.98,104.32,-37.42,3.62,0.0,57.05,-33.8,23.25
3870,11.19,33.43,37.64,-3.29,-133.21,20.91,102.62,-38.55,3.61,0.0,69.29,-34.93,34.36
3940,21.64,32.44,33.63,-4.16,-138.37,20.43,104.98,-38.9,3.62,0.0,70.58,-35.27,35.31
4010,13.63,22.77,35.45,0.39,-134.38,18.85,103.52,-39.48,3.62,0.0,60.24,-35.86,24.38
4080,19.31,30.2,35.5,-4.0,-137.69,19.07,104.8,-39.62,3.63,0.0,67.21,-35.99,31.21
4150,10.49,26.91,34.35,-1.63,-137.7,21.82,107.62,-39.93,3.61,0.0,61.86,-36.32,25.53
4220,21.57,30.28,35.47,-4.75,-131.7,18.64,106.03,-41.56,3.69,0.0,75.53,-37.87,37.66
4290,10.53,28.22,38.12,-2.31,-135.32,18.9,105.85,-40.47,3.66,0.0,64.0,-36.81,27.19
4360,14.12,31.01,39.1,-0.03,-133.24,17.94,102.87,-39.51,3.59,0.0,71.77,-35.92,35.85
4430,10.57,29.56,40.49,-1.95,-134.85,21.22,104.93,-39.38,3.62,0.0,69.99,-35.76,34.22
4500,14.44,31.26,33.71,-3.59,-137.43,19.79,106.62,-38.85,3.6,0.0,64.8,-35.25,29.55
4570,9.6,27.46,33.55,-1.4,-128.57,18.16,105.21,-43.69,3.64,0.0,64.02,-40.05,23.97
4640,13.45,29.51,30.16,-2.03,-130.9,20.17,104.21,-42.67,3.68,0.0,64.57,-38.98,25.59
4710,13.84,32.9,33.84,-3.75,-135.08,17.99,102.77,-38.57,3.57,0.0,62.51,-34.99,27.52
4780,12.46,30.22,34.84,-2.49,-136.43,17.36,103.82,-38.55,3.64,0.0,59.78,-34.91,24.87
4850,13.17,31.66,32.89,-4.34,-134.66,18.81,104.57,-40.05,3.59,0.0,62.1,-36.46,25.64
4920,10.94,34.47,32.14,-5.41,-133.37,18.01,104.41,-41.0,3.62,0.0,61.2,-37.38,23.82
4990,16.33,28.14,37.31,-4.55,-136.74,17.05,105.89,-40.48,3.68,0.0,63.43,-36.8,26.63
5060,13.91,29.92,33.51,-0.83,-130.99,18.53,103.43,-40.69,3.63,0.0,67.47,-37.06,30.41
5130,11.32,32.64,32.46,-4.39,-136.83,21.2,102.81,-38.53,3.64,0.0,59.21,-34.89,24.32
5200,16.59,28.0,36.2,-1.34,-129.78,16.97,101.98,-41.21,3.64,0.0,68.62,-37.57,31.05
5270,14.91,32.41,35.07,-2.16,-130.32,23.97,101.88,-40.46,3.63,0.0,75.75,-36.84,38.91
5340,9.93,33.55,32.2,-3.31,-132.99,19.09,103.8,-40.14,3.64,0.0,62.26,-36.5,25.75
5410,9.47,28.63,31.12,-4.6,-131.33,19.37,101.83,-40.09,3.61,0.0,54.49,-36.48,18.01
5480,13.53,30.81,33.58,0.98,-129.96,16.0,101.63,-41.51,3.68,0.0,66.56,-37.84,28.72
5550,17.38,27.0,37.45,-4.77,-136.17,19.74,106.01,-40.31,3.67,0.0,66.63,-36.64,29.99
5620,17.9,29.06,33.17,-5.03,-135.91,16.59,103.66,-38.77,3.62,0.0,59.44,-35.15,24.28
5690,19.28,36.0,41.15,-5.58,-136.62,18.29,104.62,-39.62,3.72,0.0,77.15,-35.9,41.25
5760,21.24,36.48,37.02,-3.5,-137.07,18.1,103.15,-38.02,3.59,0.0,75.43,-34.43,41.0
5830,12.43,25.72,39.45,-3.72,-133.16,19.62,102.7,-40.33,3.64,0.0,63.05,-36.68,26.36
5900,13.57,25.18,37.51,-2.04,-132.33,17.11,103.91,-40.55,3.63,0.0,62.91,-36.92,26.0
5970,14.34,30.41,36.63,-0.28,-132.89,21.67,105.63,-42.28,3.63,0.0,75.51,-38.65,36.86
6040,17.55,21.51,35.95,-2.62,-133.52,17.0,103.19,-38.92,3.62,0.0,59.07,-35.3,23.76
