GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,769.68,1827.17,2265.41,-1729.89,-16353.42,871.91,10582.76,-3779.23,86.06,-1766.38,-3693.17,-5459.55
1070,712.21,1865.64,2298.65,-1732.78,-16302.31,862.23,10587.67,-3858.29,88.11,-1708.68,-3770.18,-5478.86
1140,734.74,1895.12,2297.99,-1734.46,-16415.15,866.22,10675.65,-3819.66,89.27,-1679.89,-3730.4,-5410.29
1210,737.98,1814.07,2302.55,-1778.02,-16224.61,861.22,10684.98,-3969.63,88.91,-1601.84,-3880.72,-5482.56
1280,733.48,1815.68,2306.91,-1765.59,-16321.33,875.38,10663.34,-3857.17,85.12,-1692.13,-3772.06,-5464.19
1350,768.04,1832.93,2283.5,-1728.29,-16111.89,860.0,10608.82,-4055.4,89.95,-1486.9,-3965.46,-5452.35
1420,686.03,1815.79,2300.75,-1778.58,-16298.31,876.85,10620.81,-3826.13,85.83,-1776.65,-3740.29,-5516.95
1490,669.86,1827.31,2336.39,-1783.64,-16289.87,869.64,10655.07,-3888.32,85.53,-1715.26,-3802.78,-5518.04
1560,745.78,1772.42,2288.03,-1730.12,-16049.85,871.09,10634.37,-4113.58,91.1,-1468.27,-4022.48,-5490.75
1630,735.56,1836.57,2269.63,-1744.9,-16140.81,865.48,10602.29,-3964.57,88.9,-1576.19,-3875.67,-5451.86
1700,713.86,1860.23,2319.96,-1771.79,-16349.09,896.3,10628.64,-3811.65,82.25,-1701.91,-3729.4,-5431.3
1770,743.83,1776.5,2251.17,-1750.73,-16355.38,872.79,10582.03,-3791.5,84.24,-1879.8,-3707.26,-5587.06
1840,756.67,1834.09,2305.07,-1758.99,-16410.57,857.24,10587.26,-3763.48,85.26,-1829.23,-3678.22,-5507.45
1910,790.86,1850.62,2349.18,-1771.03,-16227.17,887.06,10623.69,-3969.51,84.58,-1496.77,-3884.93,-5381.7
1980,763.84,1872.41,2319.96,-1764.41,-16300.6,894.24,10699.2,-3943.8,85.18,-1515.36,-3858.62,-5373.98
2050,763.39,1856.34,2302.83,-1751.53,-16255.39,868.93,10569.91,-3838.63,88.93,-1645.53,-3749.7,-5395.23
2120,759.09,1811.86,2315.99,-1758.49,-16077.49,861.66,10658.56,-4090.83,89.75,-1428.82,-4001.07,-5429.89
2190,709.98,1875.36,2344.88,-1739.7,-16268.87,869.37,10635.4,-3945.49,85.28,-1573.58,-3860.21,-5433.79
2260,714.29,1800.87,2289.35,-1764.07,-16305.8,869.69,10702.51,-3905.31,88.56,-1693.16,-3816.75,-5509.91
2330,741.86,1814.44,2289.19,-1776.61,-16452.61,854.09,10628.74,-3736.56,85.46,-1900.91,-3651.1,-5552.02
2400,734.58,1817.35,2297.09,-1742.38,-15948.16,869.15,10627.81,-4227.32,88.94,-1344.56,-4138.39,-5482.95
2470,719.96,1811.24,2292.58,-1700.12,-16085.88,882.33,10638.64,-4081.53,90.4,-1441.25,-3991.12,-5432.37
2540,741.9,1818.38,2289.82,-1761.44,-15987.59,835.41,10633.73,-4133.39,89.76,-1429.78,-4043.64,-5473.42
2610,784.61,1843.39,2286.37,-1754.72,-16102.55,878.46,10691.38,-4081.91,90.24,-1373.05,-3991.67,-5364.72
