GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,727.31,1731.8,2296.7,-1779.56,-16426.08,897.54,10887.6,-3887.94,86.37,-1664.69,-3801.57,-5466.26
1070,737.59,1782.45,2318.66,-1775.99,-16399.89,880.88,10727.78,-3783.93,88.3,-1728.52,-3695.63,-5424.15
1140,689.0,1818.83,2283.62,-1779.21,-16395.23,891.19,10805.55,-3820.94,85.8,-1686.25,-3735.15,-5421.4
1210,743.31,1838.83,2307.17,-1804.11,-16576.37,878.77,10857.66,-3717.26,83.38,-1754.73,-3633.88,-5388.61
1280,767.06,1766.56,2335.34,-1764.29,-16605.08,886.27,10815.89,-3643.78,83.61,-1798.25,-3560.18,-5358.43
1350,727.1,1837.39,2311.78,-1787.44,-16561.25,881.59,10833.88,-3707.59,80.56,-1756.96,-3627.04,-5383.99
1420,725.43,1806.42,2289.09,-1740.59,-16575.55,891.99,10807.9,-3695.27,87.08,-1795.32,-3608.19,-5403.5
1490,720.82,1737.88,2303.94,-1794.09,-16484.5,876.04,10802.83,-3717.82,82.33,-1837.07,-3635.49,-5472.56
1560,757.15,1752.56,2301.08,-1790.54,-16416.64,896.46,10823.95,-3811.61,81.95,-1675.98,-3729.66,-5405.64
1630,728.74,1841.08,2305.59,-1817.16,-16587.53,891.09,10815.69,-3684.36,80.63,-1822.47,-3603.73,-5426.2
1700,693.44,1810.34,2314.72,-1807.54,-16502.35,895.39,10782.85,-3736.43,82.55,-1813.15,-3653.87,-5467.02
1770,775.83,1819.52,2324.18,-1783.22,-16453.14,882.4,10868.13,-3842.67,86.26,-1566.3,-3756.41,-5322.71
1840,719.7,1805.84,2319.96,-1791.89,-16347.23,889.19,10804.87,-3895.39,85.85,-1599.55,-3809.54,-5409.09
1910,738.23,1752.85,2302.39,-1798.99,-16332.75,886.72,10761.87,-3852.75,84.15,-1689.68,-3768.6,-5458.28
1980,746.41,1839.13,2299.5,-1772.59,-16407.03,900.09,10797.45,-3812.49,85.21,-1597.02,-3727.27,-5324.3
2050,729.97,1758.51,2260.25,-1759.18,-16274.15,886.36,10719.86,-3885.67,89.54,-1678.37,-3796.14,-5474.51
2120,733.82,1769.19,2288.41,-1781.95,-16436.59,870.26,10811.16,-3831.42,84.04,-1745.71,-3747.38,-5493.09
2190,744.15,1879.24,2269.53,-1772.1,-16477.07,871.86,10794.0,-3751.31,84.87,-1690.38,-3666.44,-5356.82
2260,755.27,1849.59,2314.63,-1800.08,-16556.59,901.41,10853.59,-3727.59,83.64,-1682.2,-3643.95,-5326.15
2330,706.1,1827.42,2263.02,-1785.63,-16348.27,891.11,10736.78,-3811.43,89.44,-1709.47,-3721.99,-5431.47
2400,743.63,1813.2,2301.27,-1793.63,-16342.16,873.87,10700.21,-3784.15,83.41,-1703.62,-3700.74,-5404.36
2470,765.47,1794.33,2297.14,-1789.31,-16581.9,869.52,10811.02,-3703.88,82.66,-1833.73,-3621.22,-5454.95
2540,727.52,1867.65,2266.27,-1761.45,-16454.9,869.62,10800.2,-3765.79,84.86,-1685.08,-3680.92,-5366.01
2610,745.66,1774.17,2323.85,-1789.75,-16363.76,889.8,10796.94,-3851.58,84.69,-1623.11,-3766.89,-5390.0
2680,785.24,1777.69,2279.57,-1755.8,-16295.3,883.93,10785.06,-3916.86,88.43,-1539.62,-3828.43,-5368.05
2750,721.97,1790.1,2305.7,-1796.32,-16350.16,896.15,10847.92,-3898.11,83.95,-1584.62,-3814.16,-5398.79
2820,751.91,1717.42,2261.3,-1789.82,-16244.95,894.68,10789.6,-3943.31,86.69,-1619.86,-3856.62,-5476.48
2890,705.87,1803.77,2305.71,-1809.36,-16140.61,870.18,10701.39,-3958.62,84.38,-1563.05,-3874.24,-5437.29
2960,741.51,1752.33,2315.55,-1776.21,-16400.11,880.01,10845.74,-3874.95,82.98,-1641.19,-3791.97,-5433.16
3030,761.98,1803.92,2317.7,-1787.39,-16208.39,885.15,10755.44,-3967.69,84.25,-1471.59,-3883.44,-5355.03
3100,708.42,1806.67,2294.29,-1781.47,-16184.66,897.25,10817.75,-4009.85,83.93,-1441.75,-3925.92,-5367.67
3170,754.85,1822.01,2286.99,-1819.88,-16059.73,882.33,10784.15,-4144.38,86.84,-1349.27,-4057.54,-5406.81
3240,754.65,1827.26,2275.1,-1808.87,-16277.18,888.04,10794.51,-3923.29,83.42,-1546.49,-3839.87,-5386.36
3310,754.21,1785.93,2294.34,-1771.47,-16260.09,860.06,10735.91,-3940.02,86.01,-1601.12,-3854.01,-5455.13
3380,793.52,1779.05,2281.28,-1790.48,-16119.07,883.09,10752.85,-4084.83,86.84,-1419.78,-3997.98,-5417.76
3450,714.11,1761.83,2283.59,-1813.72,-16420.39,885.98,10786.37,-3806.12,81.86,-1802.24,-3724.26,-5526.5
3520,743.92,1761.98,2294.92,-1747.58,-16306.98,883.5,10755.86,-3905.28,81.76,-1614.36,-3823.52,-5437.89
3590,732.15,1796.56,2291.89,-1750.91,-16472.65,879.53,10760.19,-3746.82,86.14,-1763.23,-3660.68,-5423.92
3660,740.68,1828.5,2286.69,-1816.45,-16345.68,881.78,10781.72,-3875.31,79.97,-1642.76,-3795.35,-5438.11
3730,757.92,1782.92,2294.79,-1766.46,-16306.01,874.87,10747.63,-3897.0,86.18,-1614.34,-3810.82,-5425.17
3800,725.12,1814.21,2297.26,-1788.99,-16446.61,871.22,10798.92,-3828.71,85.41,-1728.87,-3743.31,-5472.17
3870,776.66,1783.91,2254.86,-1754.43,-16709.91,901.69,10824.97,-3593.16,79.93,-1922.26,-3513.23,-5435.49
3940,783.13,1860.06,2314.85,-1786.76,-16425.01,859.54,10777.79,-3790.96,80.53,-1616.4,-3710.43,-5326.83
4010,727.58,1770.51,2284.73,-1782.21,-16315.51,888.69,10791.06,-3873.81,83.18,-1635.15,-3790.62,-5425.77
4080,749.99,1865.47,2280.57,-1765.81,-16462.53,882.29,10735.45,-3739.61,84.2,-1714.57,-3655.41,-5369.99
4150,741.35,1834.99,2260.15,-1726.97,-16499.56,892.29,10761.16,-3727.69,85.07,-1736.61,-3642.62,-5379.23
4220,729.14,1782.82,2299.22,-1814.6,-16502.11,908.96,10747.71,-3628.29,81.18,-1848.86,-3547.1,-5395.96
4290,738.85,1741.12,2280.01,-1756.84,-16258.94,903.76,10803.05,-3942.67,84.76,-1548.98,-3857.91,-5406.88
4360,749.7,1831.52,2285.61,-1760.42,-16296.97,879.33,10774.58,-3890.62,86.01,-1536.64,-3804.61,-5341.25
4430,748.68,1771.14,2307.63,-1763.04,-16275.39,884.38,10789.07,-3946.19,88.9,-1537.52,-3857.29,-5394.81
4500,743.39,1820.11,2271.92,-1768.22,-16518.91,886.69,10768.89,-3727.0,84.55,-1796.13,-3642.46,-5438.59
4570,735.11,1790.98,2253.53,-1746.01,-16598.18,880.89,10832.88,-3693.97,81.68,-1850.8,-3612.29,-5463.09
4640,745.43,1763.29,2302.06,-1781.84,-16494.5,898.84,10800.89,-3761.41,81.39,-1765.82,-3680.01,-5445.84
4710,767.74,1785.28,2291.57,-1738.24,-16410.49,907.89,10795.32,-3848.64,83.39,-1600.92,-3765.25,-5366.17
4780,682.88,1790.06,2236.31,-1745.24,-16302.83,918.5,10795.19,-3923.17,85.18,-1625.12,-3837.99,-5463.11
4850,755.12,1795.1,2271.0,-1732.36,-16270.36,875.04,10711.77,-3933.04,87.61,-1594.69,-3845.43,-5440.12
4920,702.23,1805.32,2300.83,-1752.6,-16405.31,900.73,10725.35,-3813.22,83.17,-1723.44,-3730.05,-5453.49
4990,781.89,1839.09,2261.05,-1782.14,-16439.65,896.68,10738.54,-3762.24,83.68,-1704.55,-3678.56,-5383.1
5060,786.11,1789.96,2291.23,-1776.02,-16406.97,881.92,10815.72,-3861.12,84.9,-1618.04,-3776.22,-5394.26
5130,763.17,1826.61,2282.0,-1769.14,-16444.26,868.53,10750.77,-3766.56,84.17,-1722.32,-3682.39,-5404.71
5200,754.32,1836.89,2288.5,-1755.46,-16378.15,880.08,10742.76,-3836.19,86.45,-1631.07,-3749.74,-5380.81
5270,756.51,1829.47,2297.99,-1779.33,-16386.99,871.7,10733.82,-3797.32,86.07,-1676.83,-3711.25,-5388.08
5340,743.25,1836.09,2279.79,-1776.8,-16303.25,862.91,10738.14,-3863.46,84.08,-1619.88,-3779.38,-5399.26
5410,755.76,1797.64,2300.58,-1744.5,-16198.66,878.9,10818.93,-4038.67,87.84,-1391.35,-3950.84,-5342.18
5480,751.9,1744.77,2303.43,-1764.15,-16286.28,883.68,10747.3,-3918.11,86.56,-1619.34,-3831.55,-5450.89
5550,735.98,1806.91,2290.85,-1764.11,-16403.26,887.33,10779.89,-3834.96,85.4,-1666.41,-3749.56,-5415.97
5620,755.68,1765.49,2273.84,-1743.06,-16344.76,888.07,10696.44,-3791.9,90.67,-1708.3,-3701.23,-5409.53
5690,726.06,1744.4,2292.11,-1745.65,-16340.25,886.98,10758.09,-3867.98,86.75,-1678.25,-3781.23,-5459.49
5760,737.94,1826.72,2266.99,-1781.92,-16632.68,879.72,10753.03,-3620.76,84.02,-1950.19,-3536.74,-5486.93
5830,764.92,1804.12,2306.08,-1779.66,-16697.34,911.27,10836.41,-3546.28,81.9,-1854.19,-3464.38,-5318.57
5900,745.51,1843.66,2270.13,-1741.41,-16428.84,861.32,10768.79,-3803.2,89.35,-1680.84,-3713.85,-5394.69
5970,739.66,1768.4,2295.33,-1781.55,-16475.46,886.9,10828.31,-3816.0,86.71,-1738.42,-3729.29,-5467.71
6040,682.91,1775.61,2331.26,-1756.36,-16480.42,903.23,10794.15,-3791.96,88.17,-1749.62,-3703.8,-5453.42
6110,742.18,1800.66,2308.72,-1734.85,-16602.1,914.83,10771.8,-3656.99,88.02,-1798.76,-3568.98,-5367.73
6180,786.25,1775.98,2315.5,-1750.92,-16492.08,873.57,10779.12,-3782.44,85.24,-1712.57,-3697.2,-5409.77
6250,730.36,1789.29,2257.44,-1736.33,-16511.55,892.77,10796.52,-3764.44,90.25,-1781.48,-3674.19,-5455.67
6320,725.67,1801.33,2312.46,-1773.96,-16549.78,873.93,10732.73,-3637.78,87.62,-1877.63,-3550.16,-5427.79
6390,702.02,1812.11,2273.67,-1727.15,-16599.18,877.77,10814.88,-3696.65,90.31,-1845.87,-3606.34,-5452.21
6460,715.68,1741.99,2309.52,-1781.3,-16359.18,901.3,10766.39,-3816.19,85.2,-1705.6,-3730.99,-5436.59
6530,708.35,1778.67,2284.65,-1737.58,-16478.49,893.72,10727.7,-3702.83,89.09,-1822.98,-3613.74,-5436.71
6600,736.72,1791.28,2254.68,-1750.01,-16566.87,887.62,10795.41,-3690.04,88.64,-1851.18,-3601.41,-5452.59
6670,743.54,1818.21,2319.0,-1735.78,-16737.12,889.02,10768.97,-3515.46,85.47,-1934.17,-3429.99,-5364.16
6740,759.96,1756.68,2321.09,-1737.5,-16673.48,902.98,10816.66,-3624.88,84.74,-1853.61,-3540.14,-5393.75
6810,705.83,1803.55,2312.28,-1780.73,-16512.63,884.46,10767.65,-3683.77,84.79,-1819.59,-3598.98,-5418.57
6880,698.84,1817.33,2267.06,-1767.99,-16525.64,890.51,10776.04,-3712.72,87.76,-1843.85,-3624.96,-5468.8
6950,723.84,1787.67,2276.83,-1759.8,-16706.8,881.5,10730.82,-3510.72,84.51,-2065.94,-3426.2,-5492.14
7020,755.68,1770.69,2283.46,-1775.59,-16453.27,865.47,10755.0,-3725.78,87.27,-1798.55,-3638.51,-5437.07
7090,767.07,1883.16,2285.77,-1746.08,-16570.9,894.19,10679.36,-3604.7,88.75,-1807.41,-3515.95,-5323.36
7160,728.52,1832.32,2290.77,-1781.93,-16510.6,879.01,10754.54,-3677.47,84.78,-1807.37,-3592.69,-5400.06
7230,748.25,1732.35,2297.94,-1782.19,-16545.72,902.08,10685.55,-3567.39,81.37,-1961.74,-3486.03,-5447.77
7300,714.4,1787.8,2279.1,-1760.78,-16627.47,909.41,10726.44,-3536.74,85.84,-1971.11,-3450.9,-5422.0
7370,747.24,1812.32,2304.04,-1768.87,-16401.18,869.13,10707.04,-3751.59,85.48,-1730.28,-3666.11,-5396.39
7440,730.09,1806.03,2275.09,-1740.08,-16500.08,885.64,10733.55,-3704.02,90.26,-1809.76,-3613.76,-5423.52
7510,754.07,1830.5,2306.86,-1752.33,-16558.47,889.33,10705.16,-3610.66,86.66,-1824.87,-3523.99,-5348.86
7580,757.37,1742.69,2311.98,-1778.39,-16541.7,897.7,10747.22,-3646.86,83.96,-1863.14,-3562.9,-5426.03
7650,740.72,1812.72,2292.52,-1739.22,-16418.47,875.18,10740.9,-3794.25,88.77,-1695.64,-3705.48,-5401.11
7720,773.24,1794.71,2249.36,-1752.69,-16428.57,878.27,10628.29,-3678.73,90.18,-1857.39,-3588.56,-5445.95
7790,763.33,1828.18,2296.34,-1771.34,-16613.1,867.45,10657.14,-3493.61,84.44,-1972.0,-3409.17,-5381.17
7860,741.49,1820.13,2290.34,-1757.19,-16368.25,883.51,10576.74,-3704.42,85.46,-1813.22,-3618.96,-5432.18
7930,790.44,1768.54,2278.29,-1744.56,-16410.4,881.76,10680.7,-3706.54,88.8,-1755.22,-3617.74,-5372.96
8000,716.14,1814.19,2307.53,-1782.23,-16701.66,884.27,10771.12,-3534.14,83.49,-1990.64,-3450.66,-5441.3
8070,711.67,1802.34,2333.24,-1775.58,-16354.02,857.29,10660.46,-3745.87,87.44,-1764.58,-3658.43,-5423.01
8140,733.74,1786.86,2261.47,-1748.13,-16551.03,881.46,10693.97,-3625.19,83.96,-1941.66,-3541.23,-5482.89
8210,730.7,1690.14,2305.57,-1740.24,-16456.58,888.45,10753.17,-3808.97,88.56,-1828.79,-3720.42,-5549.21
8280,711.52,1837.06,2302.77,-1731.53,-16433.53,905.67,10710.61,-3751.54,87.36,-1697.42,-3664.18,-5361.6
8350,749.11,1804.33,2285.32,-1770.18,-16327.53,886.58,10678.87,-3785.36,84.3,-1693.5,-3701.06,-5394.56
8420,732.33,1787.46,2249.86,-1733.35,-16458.35,889.3,10718.08,-3694.27,86.11,-1814.66,-3608.16,-5422.82
8490,719.55,1758.19,2280.7,-1791.29,-16423.33,874.72,10743.59,-3720.13,86.28,-1837.86,-3633.85,-5471.71
8560,712.25,1787.55,2274.78,-1768.46,-16543.88,857.36,10707.23,-3574.87,87.88,-1973.17,-3486.98,-5460.15
8630,738.98,1769.44,2281.78,-1751.31,-16376.21,891.37,10694.26,-3758.24,85.61,-1751.68,-3672.63,-5424.31
8700,716.28,1866.8,2270.36,-1719.6,-16494.38,897.24,10695.92,-3694.04,85.66,-1767.37,-3608.38,-5375.75
8770,715.19,1786.15,2302.4,-1730.37,-16675.75,868.15,10765.44,-3570.65,89.5,-1968.78,-3481.14,-5449.92
8840,754.96,1843.95,2322.23,-1705.89,-16446.34,888.97,10717.31,-3753.73,87.24,-1624.81,-3666.49,-5291.29
8910,684.71,1794.04,2259.87,-1736.68,-16567.81,918.11,10736.22,-3616.32,86.07,-1911.54,-3530.26,-5441.79
8980,730.37,1785.12,2275.17,-1735.85,-16689.95,875.96,10717.53,-3494.15,84.84,-2041.66,-3409.32,-5450.97
9050,757.43,1884.49,2285.19,-1708.23,-16402.6,872.96,10681.81,-3810.58,90.96,-1628.96,-3719.63,-5348.59
9120,745.53,1793.34,2286.85,-1722.75,-16519.69,871.63,10755.7,-3668.76,88.13,-1789.39,-3580.63,-5370.01
9190,717.26,1764.5,2261.21,-1752.41,-16544.17,906.27,10757.36,-3645.24,86.38,-1890.0,-3558.86,-5448.86
9260,725.08,1788.32,2308.36,-1807.69,-16412.03,899.26,10806.4,-3808.89,84.67,-1692.3,-3724.22,-5416.52
9330,714.15,1877.77,2298.22,-1759.07,-16440.28,899.19,10746.55,-3746.55,86.48,-1663.46,-3660.07,-5323.53
9400,764.84,1794.14,2268.2,-1779.04,-16288.14,917.94,10730.42,-3894.84,85.72,-1591.65,-3809.12,-5400.77
9470,754.91,1774.63,2277.33,-1763.78,-16549.95,898.0,10702.92,-3626.57,84.99,-1905.95,-3541.57,-5447.52
9540,727.5,1870.45,2245.8,-1734.72,-16441.44,891.55,10631.25,-3644.38,90.69,-1809.6,-3553.68,-5363.28
9610,729.59,1827.93,2264.67,-1753.73,-16499.23,895.78,10694.35,-3650.41,84.72,-1840.64,-3565.7,-5406.34
9680,736.4,1812.58,2314.19,-1745.59,-16393.8,877.49,10736.44,-3799.29,87.95,-1662.29,-3711.34,-5373.63
9750,760.19,1742.13,2293.91,-1713.73,-16467.22,882.41,10683.63,-3690.33,87.82,-1818.68,-3602.51,-5421.19
9820,711.17,1846.45,2293.61,-1765.49,-16788.36,890.4,10752.04,-3394.24,86.49,-2060.19,-3307.75,-5367.94
9890,709.59,1845.13,2251.56,-1706.75,-16607.7,910.45,10758.14,-3652.74,91.87,-1839.6,-3560.87,-5400.47
9960,727.9,1817.52,2284.81,-1750.14,-16343.3,912.13,10617.47,-3765.62,87.14,-1733.61,-3678.48,-5412.08

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1000,718.56,1708.37,2268.96,-1743.19,-16367.41,880.7,10938.18,-3846.93,86.52,-1595.83,-3760.4,-5356.23
1070,728.94,1759.74,2289.74,-1738.64,-16353.8,864.74,10778.5,-3733.64,88.5,-1670.78,-3645.15,-5315.92
1140,678.93,1799.94,2246.08,-1745.42,-16333.18,871.74,10858.24,-3782.71,85.95,-1623.67,-3696.76,-5320.43
1210,732.62,1817.2,2278.44,-1770.19,-16511.3,860.38,10908.21,-3681.41,83.94,-1684.65,-3597.47,-5282.12
1280,753.68,1751.15,2307.0,-1725.76,-16544.71,866.95,10869.07,-3605.23,84.26,-1722.63,-3520.97,-5243.6
1350,714.19,1815.79,2282.08,-1751.7,-16503.71,865.65,10883.48,-3672.32,81.01,-1694.21,-3591.32,-5285.53
1420,716.02,1788.16,2258.23,-1705.08,-16514.42,871.68,10857.64,-3657.69,87.63,-1727.76,-3570.06,-5297.83
1490,711.52,1718.59,2268.94,-1752.2,-16425.93,856.64,10854.99,-3679.06,83.05,-1767.45,-3596.01,-5363.46
1560,744.65,1735.5,2273.66,-1753.49,-16369.65,880.12,10875.02,-3761.22,82.72,-1614.2,-3678.49,-5292.69
1630,708.23,1817.37,2272.98,-1777.72,-16534.01,873.47,10859.74,-3636.45,81.25,-1779.93,-3555.2,-5335.14
1700,681.17,1788.78,2284.47,-1768.54,-16448.49,876.47,10835.77,-3693.27,83.18,-1750.37,-3610.1,-5360.47
1770,764.37,1796.99,2292.14,-1749.6,-16397.3,863.03,10915.32,-3793.57,86.38,-1515.04,-3707.19,-5222.23
1840,708.2,1776.88,2292.23,-1762.05,-16296.77,869.98,10860.0,-3840.43,86.16,-1551.53,-3754.27,-5305.81
1910,724.46,1735.87,2270.05,-1756.83,-16290.26,867.01,10808.19,-3796.09,85.07,-1641.52,-3711.02,-5352.53
1980,726.13,1821.05,2267.58,-1730.25,-16358.49,879.65,10845.81,-3763.26,85.66,-1548.52,-3677.61,-5226.13
2050,716.47,1737.3,2229.43,-1726.74,-16205.42,869.87,10772.9,-3853.25,89.74,-1606.2,-3763.5,-5369.71
2120,721.28,1750.73,2253.32,-1745.44,-16381.88,851.12,10862.3,-3786.37,84.33,-1688.56,-3702.03,-5390.59
2190,733.51,1863.57,2237.77,-1733.04,-16425.61,854.74,10844.86,-3700.09,85.26,-1624.2,-3614.83,-5239.03
2260,747.9,1823.58,2278.95,-1770.12,-16500.08,880.02,10906.43,-3680.32,84.06,-1633.31,-3596.26,-5229.57
2330,694.22,1809.15,2230.97,-1742.36,-16298.78,874.0,10788.34,-3761.11,90.68,-1644.45,-3670.43,-5314.88
2400,729.88,1786.8,2275.52,-1755.34,-16278.31,854.0,10753.13,-3745.95,84.09,-1634.32,-3661.86,-5296.18
2470,752.18,1768.77,2262.53,-1750.63,-16520.28,853.23,10863.63,-3667.02,83.45,-1770.56,-3583.57,-5354.13
2540,716.92,1852.02,2236.1,-1727.4,-16399.1,852.46,10850.99,-3718.64,85.06,-1618.01,-3633.58,-5251.6
2610,732.49,1750.87,2292.16,-1754.92,-16304.75,873.36,10845.67,-3805.16,85.16,-1565.14,-3719.99,-5285.13
2680,773.63,1753.84,2249.47,-1715.52,-16231.59,867.7,10834.78,-3879.21,89.12,-1467.68,-3790.09,-5257.77
2750,703.79,1770.85,2279.97,-1760.43,-16289.34,879.53,10898.63,-3857.19,84.75,-1517.0,-3772.44,-5289.44
2820,741.61,1700.27,2231.09,-1750.58,-16191.76,877.66,10842.3,-3897.37,87.31,-1549.41,-3810.06,-5359.46
2890,690.51,1786.08,2275.14,-1774.95,-16081.33,853.46,10751.34,-3918.24,85.22,-1499.75,-3833.02,-5332.77
2960,724.84,1736.85,2281.5,-1739.13,-16344.57,863.61,10897.12,-3829.62,83.59,-1579.77,-3746.02,-5325.8
3030,741.62,1772.62,2286.88,-1749.86,-16157.96,868.14,10808.97,-3918.71,85.27,-1429.6,-3833.44,-5263.05
3100,697.83,1785.82,2260.16,-1742.73,-16142.95,879.03,10871.04,-3954.07,84.65,-1391.8,-3869.43,-5261.23
3170,743.78,1805.92,2258.88,-1777.35,-16004.97,866.19,10837.24,-4099.0,87.63,-1270.31,-4011.38,-5281.68
3240,742.88,1806.7,2238.4,-1780.64,-16221.78,869.5,10845.3,-3874.42,83.69,-1499.64,-3790.73,-5290.37
3310,739.95,1768.63,2263.71,-1736.51,-16201.61,843.37,10787.34,-3896.37,86.64,-1535.12,-3809.73,-5344.85
3380,780.3,1757.98,2247.22,-1756.26,-16055.94,865.75,10803.61,-4046.3,87.09,-1357.33,-3959.2,-5316.54
3450,704.83,1740.21,2250.63,-1775.37,-16368.32,867.98,10836.82,-3759.0,82.27,-1743.22,-3676.73,-5419.95
3520,736.11,1740.5,2257.21,-1711.09,-16238.94,864.47,10808.04,-3874.3,82.65,-1543.71,-3791.64,-5335.35
3590,719.59,1773.39,2263.75,-1713.35,-16411.79,861.66,10815.31,-3706.72,86.69,-1691.44,-3620.03,-5311.47
3660,723.15,1807.22,2259.05,-1780.66,-16288.23,864.86,10835.01,-3829.94,80.77,-1579.6,-3749.18,-5328.78
3730,744.15,1757.42,2259.13,-1728.72,-16224.93,858.67,10799.97,-3874.34,86.7,-1534.32,-3787.64,-5321.96
3800,708.28,1799.99,2265.79,-1751.72,-16384.88,855.46,10849.46,-3790.76,86.06,-1657.64,-3704.7,-5362.33
3870,752.3,1759.94,2226.84,-1714.74,-16643.41,882.81,10878.67,-3561.85,80.72,-1857.57,-3481.13,-5338.7
3940,769.4,1835.33,2286.81,-1749.91,-16367.24,842.23,10830.61,-3749.19,81.31,-1552.77,-3667.88,-5220.64
4010,713.85,1751.52,2255.78,-1742.14,-16260.73,869.29,10844.65,-3829.95,84.14,-1567.79,-3745.81,-5313.6
4080,740.42,1847.21,2247.62,-1729.72,-16401.26,864.52,10786.03,-3697.93,84.74,-1645.17,-3613.19,-5258.35
4150,728.06,1804.3,2228.35,-1696.22,-16438.64,873.79,10812.79,-3692.07,85.83,-1687.57,-3606.24,-5293.81
4220,714.69,1761.01,2266.43,-1773.66,-16440.62,889.75,10799.32,-3591.02,82.02,-1783.08,-3509.01,-5292.09
4290,728.45,1720.57,2251.68,-1716.54,-16171.47,886.05,10856.61,-3928.53,85.59,-1444.66,-3842.94,-5287.59
4360,739.47,1813.36,2252.67,-1718.09,-16217.58,860.86,10824.71,-3874.12,87.03,-1444.6,-3787.09,-5231.69
4430,739.23,1758.35,2271.79,-1718.0,-16198.55,867.32,10837.79,-3931.86,90.29,-1442.07,-3841.56,-5283.64
4500,732.4,1799.77,2241.21,-1733.79,-16456.53,870.85,10821.2,-3688.55,84.7,-1724.9,-3603.85,-5328.75
4570,722.35,1771.01,2223.56,-1710.05,-16546.5,863.47,10883.36,-3648.81,82.31,-1792.81,-3566.5,-5359.3
