dock_id,hERG,AMES,DILI,ClinTox
CNP0286261_0,0.8169772744178772,0.17655372582376003,0.772524631023407,0.012658371636644006
CNP0275186_1,0.5350279062986374,0.26134158074855807,0.5799838423728942,0.05356810763478279
CNP0319845_2,0.5978093445301056,0.24684810489416123,0.8758737444877625,0.07125232443213463
CNP0110434_2,0.4450551748275757,0.07765747457742692,0.6054224312305451,0.023581589758396148
CNP0346362_1,0.5671784818172455,0.3756591647863388,0.5882560789585114,0.08938646204769611
CNP0346376_1,0.3823499232530594,0.10967974811792373,0.6308666825294494,0.045652791112661364
CNP0329927_1,0.9588061571121216,0.5273874342441559,0.36316744685173036,0.5913080960512161
CNP0332712_1,0.5652747213840484,0.2683214008808136,0.48054112792015075,0.052044248953461644
CNP0309710_3,0.45491172969341276,0.1749093234539032,0.6394818365573883,0.029490943998098373
CNP0242596_0,0.8465727090835571,0.43890082836151123,0.9197454810142517,0.08954955656081438
CNP0178940_1,0.1139651894569397,0.2509987562894821,0.7258688330650329,0.1923544093966484
CNP0539885_2,0.31620546579360964,0.17462027072906494,0.8674741506576538,0.7603269815444946
pyrimethamine,0.07107029929757118,0.46774047017097475,0.9252627730369568,0.03686890266835689
